编号,名字,别名,世代,种族,属性,装备凹槽,消耗容量,成长,退化,进化,进化条件,Lv.1数值,Lv.99数值,SS,必杀技,继承技
174,麒麟兽,,完全体,疫苗,光,3,14,速度,"['多路加兽', '巴多拉兽', '镰鼬兽']","['钢铁加鲁鲁兽', '究极天使兽', '八脚马兽']","('等级：30', 'HP：', 'SP：75', 'ATK：', 'DEF：', 'INT：', 'SPD：100', '友情：', '才能：10', '')","('HP：500', 'SP：80', 'ATK：75', 'INT：75', 'DEF：70', 'SPD：105')","('HP：1380', 'SP：187', 'ATK：173', 'INT：173', 'DEF：168', 'SPD：232')","('神秘的守护', '陷入异常状态的机率降低50%。')","[('疾风天翔剑', '对敌方单体发动3次威力40的风属性物理攻击。')]","['Lv.闪耀雷射Ⅰ', 'Lv.反剧毒', 'Lv.复活', 'Lv.神圣之光Ⅲ']"
175,恐蜂兽,,完全体,自由,木,3,14,速攻,"['V仔兽EX', '飞虫兽']","['帝皇龙甲兽DM', '究极古加兽']","('等级：30', 'HP：400', 'SP：', 'ATK：90', 'DEF：', 'INT：', 'SPD：75', '友情：100', '才能：', '')","('HP：750', 'SP：50', 'ATK：130', 'INT：45', 'DEF：80', 'SPD：75')","('HP：1920', 'SP：138', 'ATK：257', 'INT：123', 'DEF：168', 'SPD：192')","('背水之阵', '给予敌人的伤害增加20%，但受到的伤害也增加20%。')","[('地狱舞蹈', '对敌方单体发动木属性威力35的物理攻击3次。容易产生CRT。')]","['Lv.新月之叶Ⅲ', 'Lv.闪电坠击Ⅰ', 'Lv.烈风利爪Ⅲ', 'Lv.交叉拳']"
176,蛋蛋兽,数码蛋兽,完全体,资料,无,3,12,HP,"['奥加兽', '亚伯兽', '鼻屎兽']","['密涅瓦兽', '贝尔菲兽SM', '泰坦兽']","('等级：30', 'HP：700', 'SP：', 'ATK：', 'DEF：75', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：750', 'SP：45', 'ATK：75', 'INT：62', 'DEF：95', 'SPD：58')","('HP：2020', 'SP：133', 'ATK：182', 'INT：160', 'DEF：202', 'SPD：146')","('蓄力的一击', 'CRT提升15%。')","[('噩梦症候群', '减少敌方单体15%HP，并有40%的机率使对方睡眠。')]","['Lv.马赫突击Ⅰ', 'Lv.符文之森Ⅰ', 'Lv.死亡召唤', 'Lv.重度强袭Ⅲ']"
177,死神火焰兽,死亡燃烧兽,完全体,资料,火,3,12,攻击,"['巫师兽', '奥加兽', '火焰兽', '火神兽']","['顽固兽', '堕天地狱兽', '科学怪人兽']","('等级：28', 'HP：500', 'SP：', 'ATK：95', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：950', 'SP：40', 'ATK：120', 'INT：31', 'DEF：75', 'SPD：64')","('HP：2120', 'SP：118', 'ATK：247', 'INT：109', 'DEF：192', 'SPD：162')","('屹立不摇', '不会陷入眩晕状态')","[('重金属火焰', '对敌方单体发动威力110的火属性物理攻击，并提升自己的DEF 10%。')]","['Lv.速度破坏', 'Lv.物理耗竭', 'Lv.彗星重锤Ⅲ', 'Lv.云雾汽油弹Ⅲ']"
178,杜兰兽,,完全体,疫苗,无,3,14,攻击,"['守卫兽（金）', '兹巴伊戈兽', '猛禽龙兽']","['虎蜂兽', '杰斯兽', '杜兰达兽']","('等级：40', 'HP：800', 'SP：', 'ATK：80', 'DEF：80', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：880', 'SP：42', 'ATK：112', 'INT：40', 'DEF：88', 'SPD：70')","('HP：2050', 'SP：120', 'ATK：239', 'INT：118', 'DEF：205', 'SPD：168')","('Legend-Arms', '增加光·暗属性技能所给予的伤害10%。')","[('调和', '对敌方单体发动无属性威力115的物理攻击。容易产生CRT。')]","['Lv.敏捷填充', 'Lv.神圣钩爪Ⅱ', 'Lv.重度强袭Ⅲ', 'Lv.马赫突击Ⅱ']"
179,怪蛙皇,,完全体,病毒,水,3,12,HP,"['贝壳鼻涕兽', '怪蛙兽', '海龙兽']","['维京毛人兽', '大王悟空兽', '蛇颈龙兽', '利维坦兽']","('等级：26', 'HP：900', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：1350', 'SP：52', 'ATK：60', 'INT：50', 'DEF：60', 'SPD：53')","('HP：2620', 'SP：140', 'ATK：167', 'INT：148', 'DEF：167', 'SPD：141')","('深海的睡眠', '发动攻击时，有10%的机率使对方睡眠。')","[('破坏音波', '对敌方全体发动无属性中威力的INT贯穿攻击，并有30%的机率使对方的ATK或INT降低20%。')]","['Lv.大海波浪Ⅰ', 'Lv.偶像泡沫', 'Lv.大海波浪Ⅱ', 'Lv.寒冰之箭Ⅲ']"
180,三角龙兽,,完全体,资料,土,3,12,攻击,"['海狮兽', '暴龙兽蓝', '核龙兽绿', '角龙兽']","['究极古加兽', '黄金剑狮兽', '破坏龙兽']","('等级：28', 'HP：', 'SP：', 'ATK：75', 'DEF：75', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：50', 'ATK：85', 'INT：55', 'DEF：110', 'SPD：50')","('HP：1770', 'SP：128', 'ATK：212', 'INT：133', 'DEF：227', 'SPD：148')","('铁壁的守护', 'DEF提升15%。')","[('三角突击', '对敌方单体发动土属性威力150的物理攻击。使对方产生眩晕。ACU50%。')]","['Lv.地牛翻身Ⅰ', 'Lv.命中填充', 'Lv.云雾汽油弹Ⅱ', 'Lv.彗星重锤Ⅲ']"
181,多路龙兽,多路暴龙兽,完全体,资料,火,3,14,攻击,"['加鲁鲁兽', '暴龙兽蓝', '独眼龙兽', '多路加兽', '猛禽龙兽']","['阿尔法兽', '八脚马兽', '多路战龙兽', '破坏龙兽']","('等级：30', 'HP：400', 'SP：', 'ATK：95', 'DEF：75', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：900', 'SP：45', 'ATK：98', 'INT：45', 'DEF：95', 'SPD：67')","('HP：2070', 'SP：123', 'ATK：225', 'INT：123', 'DEF：212', 'SPD：165')","('蓄力的一击', 'CRT提升15%。')","[('金属流星', '对敌方单体发动威力115的土属性物理攻击。')]","['Lv.地牛翻身Ⅰ', 'Lv.攻击破坏', 'Lv.云雾汽油弹Ⅲ', 'Lv.交叉拳']"
182,骑士兽,,完全体,资料,无,3,12,防御,"['暴龙兽蓝', '时钟兽', '坦克兽', '黑迪路兽', '野狼兽']","['颅骨兽', '杜兰达兽', '芳香兽', '剑皇兽']","('等级：30', 'HP：', 'SP：', 'ATK：75', 'DEF：75', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：650', 'SP：60', 'ATK：82', 'INT：70', 'DEF：95', 'SPD：53')","('HP：1630', 'SP：158', 'ATK：189', 'INT：177', 'DEF：222', 'SPD：131')","('铁壁的守护', 'DEF提升15%。')","[('狂暴大剑', '使敌方单体立即死亡，ACU 30%。')]","['Lv.马赫突击Ⅰ', 'Lv.反混乱', 'Lv.重度强袭Ⅲ', 'Lv.马赫突击Ⅱ']"
183,分子兽,,完全体,病毒,雷,3,12,魔防,"['守卫兽', '时钟兽', '独眼龙兽']","['机械邪龙兽', '钢铁加鲁鲁兽（黑）', '超级火车兽']","('等级：28', 'HP：', 'SP：60', 'ATK：', 'DEF：', 'INT：85', 'SPD：', '友情：', '才能：', '')","('HP：650', 'SP：75', 'ATK：35', 'INT：112', 'DEF：65', 'SPD：58')","('HP：1720', 'SP：192', 'ATK：113', 'INT：239', 'DEF：163', 'SPD：146')","('分析', '掃描值提升10%。')","[('插入式炸弹', '对敌方单体发动威力80的火属性魔法攻击，并有30%的机率使对方的基礎状态降低10%。')]","['Lv.麻痹电网', 'Lv.物理耗竭', 'Lv.天国闪电Ⅲ', 'Lv.力量能源Ⅲ']"
184,机甲龙兽,,完全体,自由,无,3,14,万能,"['V仔兽EX', '飞虫兽']",['帝皇龙甲兽DM'],"('等级：30', 'HP：', 'SP：', 'ATK：90', 'DEF：60', 'INT：', 'SPD：75', '友情：100', '才能：', '合体进化')","('HP：750', 'SP：80', 'ATK：90', 'INT：60', 'DEF：75', 'SPD：75')","('HP：1820', 'SP：187', 'ATK：188', 'INT：158', 'DEF：173', 'SPD：182')","('背水之阵', '给予敌人的伤害增加20%，但受到的伤害也增加20%。')","[('死亡火箭炮', '对敌方全体发动2次威力40的光属性物理攻击。')]","['Lv.马赫突击Ⅰ', 'Lv.闪电坠击Ⅰ', 'Lv.重度强袭Ⅲ', 'Lv.交叉拳']"
185,邦加兽,白狮兽,完全体,疫苗,水,3,12,万能,"['冰石兽', '加鲁鲁兽', '火焰兽', '狮子兽']","['番长狮子兽', '黄金剑狮兽', '幻影迦奥迦兽']","('等级：28', 'HP：350', 'SP：', 'ATK：75', 'DEF：', 'INT：', 'SPD：75', '友情：', '才能：', '')","('HP：750', 'SP：75', 'ATK：75', 'INT：62', 'DEF：65', 'SPD：73')","('HP：1820', 'SP：182', 'ATK：173', 'INT：160', 'DEF：163', 'SPD：180')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('冰兽拳', '对敌方单体发动威力110的水属性物理攻击，并有40%的机率使对方眩晕。')]","['Lv.大海波浪Ⅰ', 'Lv.敏捷填充', 'Lv.发电水流Ⅲ', 'Lv.寒冰之箭Ⅲ']"
186,熊猫兽,,完全体,资料,土,3,12,防御,"['黑加鲁鲁兽', '泥熊兽', '迪路兽', '修女兽天蓝']","['大王悟空兽', '裁决兽', '番长狮子兽']","('等级：26', 'HP：', 'SP：', 'ATK：65', 'DEF：65', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：55', 'ATK：82', 'INT：65', 'DEF：90', 'SPD：58')","('HP：1580', 'SP：153', 'ATK：189', 'INT：172', 'DEF：217', 'SPD：136')","('动物竞技场', '土属性技能造成的伤害增加15%。')","[('动物爪子', '对敌方单体发动土属性威力115的物理攻击。')]","['Lv.马赫突击Ⅰ', 'Lv.治愈', 'Lv.重度强袭Ⅱ', 'Lv.彗星重锤Ⅲ']"
187,南瓜兽,,完全体,资料,土,3,10,HP,"['朽木兽', '岩石兽', '泥熊兽', '仙人掌兽', '猛鬼兽']","['科学怪人兽', '木偶兽', '蔷薇兽']","('等级：26', 'HP：850', 'SP：', 'ATK：60', 'DEF：', 'INT：60', 'SPD：', '友情：', '才能：', '')","('HP：850', 'SP：53', 'ATK：70', 'INT：70', 'DEF：55', 'SPD：67')","('HP：2120', 'SP：141', 'ATK：177', 'INT：168', 'DEF：162', 'SPD：155')","('奇异的舞蹈', '发动攻击时，有10%的机率使对方混乱。')","[('不给糖就捣蛋', '对敌方单体发动威力100的无属性物理攻击，并使对方的INT降低10%。')]","['Lv.地牛翻身Ⅰ', 'Lv.流星坠落Ⅰ', 'Lv.彗星重锤Ⅲ', 'Lv.结构痛击']"
188,妖精兽,,完全体,资料,光,3,12,速度,"['冰巫师兽', '锐啄兽', '独角马兽', '镰鼬兽']","['凤凰兽', '海天使兽', '神圣天女兽']","('等级：26', 'HP：', 'SP：75', 'ATK：', 'DEF：', 'INT：80', 'SPD：80', '友情：', '才能：', '')","('HP：550', 'SP：70', 'ATK：55', 'INT：85', 'DEF：55', 'SPD：90')","('HP：1430', 'SP：177', 'ATK：153', 'INT：183', 'DEF：153', 'SPD：217')","('妖精的庇佑', '状态提升效果增加5%。')","[('位元炸弹', '对敌方单体发动威力110的火属性魔法攻击。')]","['Lv15.闪耀雷射Ⅰ', 'Lv25.大海波浪Ⅰ', 'Lv35.神圣之光Ⅲ', 'Lv45.X治愈']"
189,仙鹰兽,骏鹰兽,完全体,资料,风,3,12,速度,"['亚古拉兽', '天使兽', '巴多拉兽', '独角马兽']","['瓦尔德兽', '狮鹫兽', '究极天使兽']","('等级：26', 'HP：', 'SP：65', 'ATK：', 'DEF：65', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：550', 'SP：85', 'ATK：58', 'INT：94', 'DEF：33', 'SPD：85')","('HP：1430', 'SP：192', 'ATK：156', 'INT：192', 'DEF：131', 'SPD：212')","('风之守卫', '风属性技能造成的伤害增加15%。')","[('高热波', '对敌方全体发动火属性威力75的魔法伤害。')]","['Lv15.音速空洞Ⅱ', 'Lv25.闪耀雷射Ⅰ', 'Lv35.速度填充', 'Lv45.音速空洞Ⅲ']"
190,死神兽,幻影兽,完全体,病毒,暗,3,12,智力,"['巫师兽', '兹巴伊戈兽', '猛鬼兽', '烂泥兽']","['究极吸血魔兽', '泰坦兽', '巴尔巴兽']","('等级：28', 'HP：', 'SP：80', 'ATK：', 'DEF：', 'INT：80', 'SPD：', '友情：', '才能：', '')","('HP：550', 'SP：60', 'ATK：60', 'INT：100', 'DEF：55', 'SPD：80')","('HP：1330', 'SP：187', 'ATK：138', 'INT：227', 'DEF：143', 'SPD：197')","('噩梦军团', '暗属性技能造成的伤害增加15%。')","[('灵魂捕食者', '对敌方单体发动暗属性高威力的INT贯穿攻击。10%机率使对方立即死亡。')]","['Lv.地狱粉碎Ⅰ', 'Lv.死亡召唤', 'Lv.梦魇Ⅲ', 'Lv.地狱粉碎Ⅱ']"
191,黑帝鼻涕兽,黑国王鼻涕兽,完全体,病毒,暗,3,10,铁壁,"['贝壳鼻涕兽', '黄金鼻涕兽', '鼻涕兽', '烂泥兽']","['白金鼻涕兽', '钢铁悟空兽', '王子豆豆兽']","('等级：32', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：950', 'SP：60', 'ATK：45', 'INT：45', 'DEF：105', 'SPD：50')","('HP：2220', 'SP：167', 'ATK：133', 'INT：133', 'DEF：232', 'SPD：128')","('捡拾', '增加敌人掉落道具的机率。')","[('黑暗瞳孔', '对敌方单体发动威力110的暗属性物理攻击，并有80%的机率使对方中毒。')]","['Lv.反液晶化', 'Lv.结构痛击', 'Lv.负极锁链', 'Lv.梦魇Ⅲ']"
192,蓝色火焰兽,蓝色燃烧兽,完全体,病毒,火,3,12,双刀,"['核龙兽蓝', '黑加鲁鲁兽', '恶魔兽', '猛鬼兽', '火焰兽']","['巴尔巴兽', '科学怪人兽', '究极魔兽', '暗龙兽']","('等级：28', 'HP：400', 'SP：', 'ATK：80', 'DEF：', 'INT：70', 'SPD：', '友情：', '才能：', '')","('HP：650', 'SP：60', 'ATK：90', 'INT：75', 'DEF：50', 'SPD：70')","('HP：1630', 'SP：158', 'ATK：207', 'INT：192', 'DEF：138', 'SPD：168')","('龙之怒吼', '火属性技能造成的伤害增加15%。')","[('寒冷火花', '对敌方单体发动威力100的水属性物理攻击，并提升自己的INT10%。')]","['Lv.流星坠落Ⅰ', 'Lv.智能破坏', 'Lv.爆裂火焰Ⅲ', 'Lv.云雾汽油弹Ⅲ']"
193,入侵者兽,入侵兽,完全体,病毒,暗,3,10,魔防,"['黄金鼻涕兽', '大便兽', '白金大便兽']","['外星兽', '高级安杜路兽', '力神比多兽']","('等级：26', 'HP：', 'SP：85', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：107', 'ATK：25', 'INT：110', 'DEF：45', 'SPD：53')","('HP：1670', 'SP：224', 'ATK：103', 'INT：237', 'DEF：143', 'SPD：141')","('高画质', '不会陷入液晶化状态')","[('恶魔飞吻', '对敌方单体发动威力95的暗属性魔法攻击，并有40%的机率使对方液晶化。')]","['Lv.剧毒陷阱', 'Lv.地狱粉碎Ⅰ', 'Lv.角色倒置', 'Lv.梦魇Ⅲ']"
194,巨鲸兽,,完全体,疫苗,水,2,12,HP,"['海狮兽', '怪蛙兽', '海龙兽']","['尼普顿兽', '蛇颈龙兽', '海天使兽', '钢铁海龙兽']","('等级：28', 'HP：850', 'SP：', 'ATK：', 'DEF：75', 'INT：75', 'SPD：', '友情：', '才能：', '')","('HP：1050', 'SP：49', 'ATK：70', 'INT：75', 'DEF：70', 'SPD：56')","('HP：2320', 'SP：137', 'ATK：177', 'INT：173', 'DEF：177', 'SPD：144')","('海洋之爱', '每回合回复最大SP的5%。')","[('大海啸', '对敌方全体发动威力75的水属性魔法攻击。')]","['Lv.大海波浪Ⅰ', 'Lv.X治愈', 'Lv.发电水流Ⅲ', 'Lv.寒冰之箭Ⅲ']"
195,神圣天使兽,,完全体,疫苗,光,3,14,魔防,"['战甲兽', 'V仔兽EX', '天使兽', '独角马兽']","['女战神兽', '神龙兽', '闪光暴龙兽', '究极天使兽', '剑皇兽']","('等级：30', 'HP：', 'SP：80', 'ATK：', 'DEF：', 'INT：80', 'SPD：', '友情：', '才能：10', '')","('HP：650', 'SP：85', 'ATK：59', 'INT：100', 'DEF：70', 'SPD：61')","('HP：1720', 'SP：202', 'ATK：137', 'INT：227', 'DEF：168', 'SPD：149')","('正义基因', '光属性技能造成的伤害增加15%。')","[('天国之门', '对敌方单体发动威力100的光属性魔法攻击，并有10%的机率使对方立即死亡。')]","['Lv.闪耀雷射Ⅰ', 'Lv.X治愈', 'Lv.神圣之光Ⅲ', 'Lv.复活']"
196,火山兽,,完全体,资料,火,3,12,速攻,"['岩石兽', '坦克兽', '火焰兽']","['顽固兽', '摔角火山兽', '钢铁悟空兽']","('等级：26', 'HP：', 'SP：', 'ATK：80', 'DEF：75', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：950', 'SP：38', 'ATK：95', 'INT：30', 'DEF：75', 'SPD：67')","('HP：2120', 'SP：126', 'ATK：222', 'INT：108', 'DEF：163', 'SPD：184')","('强力接招', 'EVA大幅下降，但所受损伤减少15%。')","[('声波大CRT', '对敌方全体发动无属性中威力的DEF贯穿攻击。20%机率使对方麻痹。')]","['Lv.正极锁链', 'Lv.马赫突击Ⅰ', 'Lv.地牛翻身Ⅰ', 'Lv.云雾汽油弹Ⅲ']"
197,斗牛士兽,,完全体,病毒,暗,3,12,HP,"['血狼兽', '猛鬼兽', '火神兽']","['究极吸血魔兽', '大德古兽', '小丑皇']","('等级：28', 'HP：', 'SP：', 'ATK：75', 'DEF：', 'INT：', 'SPD：80', '友情：', '才能：', '')","('HP：850', 'SP：50', 'ATK：95', 'INT：55', 'DEF：40', 'SPD：100')","('HP：2120', 'SP：138', 'ATK：202', 'INT：153', 'DEF：147', 'SPD：188')","('吸血鬼', '增加依照HP吸取效果的回复量25%。')","[('蝶绝喇叭蹴', '对敌方单体发动暗属性威力30的物理攻击3~5次。吸取20%的HP。')]","['Lv.地狱粉碎Ⅰ', 'Lv.交叉拳', 'Lv.马赫突击Ⅱ', 'Lv.破坏加农Ⅲ']"
198,音速迦奥迦兽,音速加奥加兽,完全体,资料,风,3,12,速攻,"['海狮兽', '迦奥迦兽', '仙人掌兽', '黑加鲁鲁兽', '雷克斯兽']","['撒多格杜兽', '番长狮子兽', '幻影迦奥迦兽', '墨丘利兽']","('等级：26', 'HP：', 'SP：', 'ATK：75', 'DEF：', 'INT：', 'SPD：80', '友情：', '才能：', '')","('HP：900', 'SP：45', 'ATK：95', 'INT：50', 'DEF：45', 'SPD：100')","('HP：2070', 'SP：133', 'ATK：222', 'INT：128', 'DEF：133', 'SPD：217')","('假动作', '闪避率提升7%')","[('胜利拳击', '对敌方单体发动威力115的无属性物理攻击，并有40%的机率使对方眩晕。')]","['Lv.闪电坠击Ⅰ', 'Lv.反晕眩', 'Lv.烈风利爪Ⅲ', 'Lv.狂风暴雨Ⅱ']"
199,豆豆兽,,完全体,资料,土,3,10,铁壁,"['星星兽', '巨龙兽', '火焰兽']","['战斗暴龙兽', '木偶兽', '王子豆豆兽']","('等级：26', 'HP：', 'SP：', 'ATK：75', 'DEF：80', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：850', 'SP：60', 'ATK：67', 'INT：40', 'DEF：90', 'SPD：58')","('HP：2120', 'SP：167', 'ATK：155', 'INT：128', 'DEF：217', 'SPD：136')","('屹立不摇', '不会陷入眩晕状态')","[('微笑炸弹', '对敌方单体发动威力110的火属性物理攻击，必定命中。')]","['Lv.地牛翻身Ⅰ', 'Lv.疾速逃脱', 'Lv.彗星重锤Ⅲ', 'Lv.地牛翻身Ⅱ']"
200,超海龙兽,百万海龙兽,完全体,资料,水,3,12,魔防,"['飞龙兽', '贝壳鼻涕兽', '怪蛙兽', '海龙兽', '希拉兽', '银龙兽']","['尼普顿兽', '蛇颈龙兽', '钢铁海龙兽', '利维坦兽']","('等级：30', 'HP：400', 'SP：70', 'ATK：', 'DEF：', 'INT：70', 'SPD：', '友情：', '才能：', '')","('HP：800', 'SP：80', 'ATK：47', 'INT：95', 'DEF：65', 'SPD：58')","('HP：1870', 'SP：197', 'ATK：125', 'INT：222', 'DEF：163', 'SPD：146')","('不可思议的鳞片', '无效基本状态下降效果。')","[('轰雷枪', '对敌方单体发动威力105的雷属性魔法攻击。并有40%的机率使对方麻痹。')]","['Lv.偶像泡沫', 'Lv.智能破坏', 'Lv.发电水流Ⅲ', 'Lv.天国闪电Ⅲ']"
201,超蛇龙兽,百万龙兽,完全体,病毒,风,3,12,攻击,"['飞龙兽', '暴龙兽', '独眼龙兽', '巨龙兽']","['究极V龙兽', '神龙兽', '黑暗战斗暴龙兽', '机械邪龙兽', '破灭魔龙兽']","('等级：26', 'HP：400', 'SP：', 'ATK：95', 'DEF：', 'INT：', 'SPD：75', '友情：', '才能：', '')","('HP：850', 'SP：40', 'ATK：95', 'INT：30', 'DEF：90', 'SPD：70')","('HP：2020', 'SP：118', 'ATK：222', 'INT：108', 'DEF：207', 'SPD：168')","('百发百中', 'ACU提升15%。')","[('种族灭绝攻击', '对敌方单体发动威力110的火属性物理攻击，容易产生爆击。')]","['Lv.混乱鬼火', 'Lv.云雾汽油弹Ⅱ', 'Lv.狂风暴雨Ⅱ', 'Lv.烈风利爪Ⅲ']"
202,大古拉兽,,完全体,病毒,火,3,14,攻击,"['加鲁哥兽', '古拉兽', '核龙兽绿', 'V龙兽']","['混沌公爵兽', '暗龙兽', '红莲骑士兽', '破灭魔龙兽', '终极巨龙兽']","('等级：30', 'HP：', 'SP：', 'ATK：105', 'DEF：', 'INT：', 'SPD：75', '友情：', '才能：', '')","('HP：850', 'SP：45', 'ATK：115', 'INT：48', 'DEF：80', 'SPD：67')","('HP：2020', 'SP：123', 'ATK：242', 'INT：126', 'DEF：197', 'SPD：165')","('万能', 'ATK、DEF、INT、SPD提升5%。')","[('原子爆焰', '对敌方单体发动威力250的雷属性物理攻击，使用后将因反作用力而无法行动1回合。')]","['Lv.正极锁链', 'Lv.守备破坏', 'Lv.云雾汽油弹Ⅲ', 'Lv.神圣钩爪Ⅲ']"
203,机械暴龙兽,,完全体,疫苗,火,3,14,攻击,"['飞龙兽', '古拉兽', '暴龙兽', '狮子兽']","['战斗暴龙兽', '凯王兽', '终极巨龙兽']","('等级：30', 'HP：350', 'SP：', 'ATK：100', 'DEF：', 'INT：', 'SPD：', '友情：50', '才能：', '')","('HP：950', 'SP：45', 'ATK：105', 'INT：41', 'DEF：90', 'SPD：64')","('HP：2120', 'SP：123', 'ATK：232', 'INT：119', 'DEF：207', 'SPD：162')","('龙之怒吼', '火属性技能造成的伤害增加15%。')","[('究极破坏炮', '对敌方单体发动威力115的火属性物理攻击。')]","['Lv.马赫突击Ⅰ', 'Lv.攻击填充', 'Lv.流星坠落Ⅱ', 'Lv.云雾汽油弹Ⅲ']"
204,机械暴龙兽（蓝）,,完全体,病毒,火,2,14,攻击,"['暴龙兽', '暴龙兽蓝', '巨龙兽', '恶魔兽', '烂泥兽']","['战斗暴龙兽', '凯王兽', '基路比兽恶', '黑暗战斗暴龙兽']","('等级：30', 'HP：450', 'SP：', 'ATK：110', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：1090', 'SP：45', 'ATK：110', 'INT：30', 'DEF：85', 'SPD：61')","('HP：2260', 'SP：123', 'ATK：237', 'INT：108', 'DEF：202', 'SPD：159')","('龙之愤怒', 'ATK提升15%。')","[('复仇火焰', '受到物理攻击或魔法攻击时，進入反击状态。')]","['Lv.地牛翻身Ⅰ', 'Lv.爆击填充', 'Lv.流星坠落Ⅱ', 'Lv.云雾汽油弹Ⅲ']"
205,钢铁巨龙兽,金属巨龙兽,完全体,病毒,雷,3,12,防御,"['古拉兽', '巨龙兽', 'V龙兽', '角龙兽']","['红莲骑士兽', '黑暗战斗暴龙兽', '破坏龙兽', '终极巨龙兽']","('等级：28', 'HP：', 'SP：', 'ATK：75', 'DEF：95', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：600', 'SP：55', 'ATK：77', 'INT：65', 'DEF：115', 'SPD：53')","('HP：1580', 'SP：153', 'ATK：184', 'INT：172', 'DEF：242', 'SPD：131')","('威吓', '发动攻击时，有10%的机率使对方眩晕。')","[('核子雷射光', '对敌方单体发动雷属性中威力的DEF贯穿攻击，并提升自己的DEF10%。')]","['Lv.麻痹电网', 'Lv.守备填充', 'Lv.爆裂火焰Ⅲ', 'Lv.奈米机械破坏Ⅲ']"
206,钢铁豆豆兽,金属豆豆兽,完全体,资料,雷,3,10,防御,"['庸俗兽', '守卫兽', '星星兽', '白金大便兽']","['外星兽', '高级安杜路兽', '王子豆豆兽']","('等级：26', 'HP：', 'SP：', 'ATK：', 'DEF：80', 'INT：65', 'SPD：', '友情：', '才能：', '')","('HP：500', 'SP：50', 'ATK：70', 'INT：75', 'DEF：90', 'SPD：64')","('HP：1480', 'SP：148', 'ATK：177', 'INT：182', 'DEF：217', 'SPD：142')","('全天作战机器', '不会陷入睡眠状态')","[('能量炸弹', '对敌方单体发动威力110的雷属性魔法攻击，必定命中。')]","['Lv.疾速逃脱', 'Lv.命中填充', 'Lv.奈米机械破坏Ⅲ', 'Lv.爆裂火焰Ⅲ']"
207,熊仔兽,,完全体,疫苗,无,2,12,HP,"['九尾狐兽', '兔爷兽', '鼻涕兽', '雪人兽']","['黄金剑狮兽', '沙古牙兽', '密涅瓦兽']","('等级：26', 'HP：600', 'SP：', 'ATK：60', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：950', 'SP：49', 'ATK：75', 'INT：70', 'DEF：65', 'SPD：56')","('HP：2220', 'SP：137', 'ATK：182', 'INT：168', 'DEF：172', 'SPD：144')","('第一骑兵', '无属性技能造成的伤害增加15%。')","[('爱心一击', '恢复我方单体的HP，并提升ATK、DEF、INT10%。')]","['Lv.马赫突击Ⅰ', 'Lv.符文之森Ⅰ', 'Lv.混乱鬼火', 'Lv.重度强袭Ⅲ']"
208,八咫鸦兽,八咫乌兽,完全体,疫苗,风,3,12,速度,"['亚古拉兽', '巴多拉兽', '锐啄兽']","['瓦尔德兽', '葛叶兽', '密涅瓦兽', '鸦神兽', '王龙兽']","('等级：30', 'HP：', 'SP：75', 'ATK：', 'DEF：', 'INT：', 'SPD：90', '友情：', '才能：', '')","('HP：450', 'SP：75', 'ATK：70', 'INT：70', 'DEF：55', 'SPD：110')","('HP：1330', 'SP：182', 'ATK：168', 'INT：168', 'DEF：153', 'SPD：237')","('风之守卫', '风属性技能造成的伤害增加15%。')","[('瓮布都神', '对敌方单体发动威力110的光属性魔法攻击。')]","['Lv.狂风暴雨Ⅰ', 'Lv.闪电坠击Ⅰ', 'Lv.音速空洞Ⅲ', 'Lv.反射镜']"
